day,daytype,term,p_5,p_ave,p_95,t1,t2,t3,t4,p_lo,p_hi,yday
2019-01-01,Weekday,Holiday,368.0924,404.32916842105254,435.65599999999995,5.389642463456785,18.749997567163877,23.538566393605127,23.859175369675423,385.6747624906128,423.873161345355,1
2019-01-02,Weekday,Holiday,376.58399999999995,421.12117894736843,454.116,6.019022882911842,6.429384334277401,21.000013092382233,23.999643509339528,399.0004041990496,431.32605962869826,2
2019-01-03,Weekday,Holiday,369.2,419.10029473684216,451.53159999999997,6.000000593227299,7.844430199054018,19.889287765771673,23.99996921741943,396.88366329421615,432.19916665562744,3
2019-01-04,Weekday,Holiday,365.508,426.639747368421,461.5,5.645579522286669,9.290022515676672,23.756704707380646,23.701484131165795,387.99563642248916,443.9311724285787,4
2019-01-05,Weekend,Holiday,379.5376,422.43678947368414,450.424,5.749999693774064,14.722322521938551,22.155614348610822,23.99998980209569,407.13709565712895,435.2265693339149,5
2019-01-06,Weekend,Holiday,383.96799999999996,418.04672631578944,440.45559999999995,6.24999924682883,6.755817277461656,23.662289424699395,23.49085261676784,400.60606926130856,424.7258523719384,6
2019-01-07,Weekday,Holiday,387.65999999999997,442.7434105263158,476.26800000000003,5.590437498525576,8.783282381205417,23.17499341595948,23.999999999999996,405.2734268077781,459.55684210588515,7
2019-01-08,Weekday,Holiday,391.352,449.1247263157895,491.03600000000006,5.647442149876186,10.74942036314294,15.114936374100445,23.999999999999996,417.6577774622339,483.4468888683799,8
2019-01-09,Weekday,Holiday,397.6284,451.0458105263158,487.34399999999994,5.623531232563104,9.936031730099783,16.656207156481237,23.999999999999996,422.18150008327393,476.814962988483,9
2019-01-10,Weekday,Holiday,392.8288,451.90079999999983,483.65200000000004,5.500000423957306,9.538593892853308,21.079605272298984,23.99987380419636,415.50765518861476,473.7992588728972,10
2019-01-11,Weekday,Holiday,387.65999999999997,438.79765263157907,476.26800000000003,5.324794128618252,8.398063799928059,14.908220527604763,22.500001025600096,413.31378010203747,464.3069686840117,11
2019-01-12,Weekend,Holiday,364.4004,406.96437894736846,443.03999999999996,6.259070037575621,6.564770152927205,22.250000890951828,23.998999470626945,383.56514505981517,416.86900657488843,12
2019-01-13,Weekend,Holiday,368.0924,403.7262210526316,431.96400000000006,5.49999574550909,16.5555438800027,22.697172963802704,23.998584656592943,387.92563537499814,418.2846619652173,13
2019-01-14,Weekday,Holiday,361.816,424.1209263157895,469.9916,5.182183639516884,9.999793278615492,16.25000138735596,23.99902269626504,386.48405084056367,457.64788707280155,14
2019-01-15,Weekday,Holiday,363.5063,417.6655684210526,469.9916,6.108162954921627,10.000864216422372,18.61717992173876,20.00000264430856,389.2447323064985,449.38393668945025,15
2019-01-16,Weekday,Spring,354.43199999999996,423.10320000000013,468.884,5.071067427772703,10.515800555742612,17.7138681383896,23.999999999999996,383.0953454759945,455.8301428430612,16
2019-01-17,Weekday,Spring,355.9088,422.79229473684205,472.576,5.338821258041095,12.500004722827498,16.49993262522004,23.992904057262376,384.2860932082109,464.96197625004436,17
2019-01-18,Weekday,Spring,370.6768,427.53360000000004,466.2996,5.749997812380706,10.709774206626506,18.08111879989098,23.91412141016812,392.4723814141472,457.6878290204637,18
2019-01-19,Weekend,Spring,368.0924,412.7871157894737,446.73199999999997,12.222418566193525,14.749999030133576,22.356845793555745,23.999999997565,396.3970961065427,436.2176562707904,19
2019-01-20,Weekend,Spring,365.8772,408.56000000000006,433.0716,6.252565947366258,6.437077510885701,17.657143022533983,20.424731162491053,396.2746666791456,419.31146667345365,20
2019-01-21,Weekday,Holiday,358.124,402.5445894736842,440.4556,8.8477773327291,5.5176628135565275,23.738917368749227,23.974042983183608,388.2941775619031,410.8762960460161,21
2019-01-22,Weekday,Spring,364.4004,430.323747368421,478.4832,5.250001458306385,13.989443104082278,19.081340211430835,23.999999999956728,390.60905600656696,468.75828520100805,22
2019-01-23,Weekday,Spring,378.0608,436.2041684210527,492.14360000000005,4.953173133979926,16.23019148481238,16.992144814938182,23.999999999999996,395.8475976469634,492.1436,23
2019-01-24,Weekday,Spring,368.0924,432.5200736842105,484.75960000000003,5.250006904055957,13.483605098642272,17.440612700446028,23.996868478027718,391.63950740108726,476.6657261384661,24
2019-01-25,Weekday,Spring,360.7084,436.3555368421053,508.01919999999996,5.26865516496033,16.432336876493547,16.999997115368583,23.999999942822285,386.8175996533333,508.0165904045871,25
2019-01-26,Weekend,Spring,380.27599999999995,421.043452631579,461.5,6.154635634369644,7.423048018962488,19.000003927862494,23.999705357984766,396.51743247071784,435.8671203939123,26
2019-01-27,Weekend,Spring,349.63239999999996,413.8926315789474,462.6076,5.999995450895709,16.20155038790103,22.166906846600263,23.999989125729293,379.75256504062816,447.233825167934,27
2019-01-28,Weekday,Spring,374.36879999999996,441.95183157894735,494.72799999999995,5.749997164516513,11.446689681087602,18.45811028979726,23.997698434570292,393.40954681525113,484.64522603627523,28
2019-01-29,Weekday,Spring,375.4764,441.9488315789473,491.03599999999994,5.749998386792944,9.761419814892133,22.409751003555858,23.999999776746755,392.1808019662025,468.90270589876525,29
2019-01-30,Weekday,Spring,369.2,445.17747368421044,492.1436,5.499996862786397,12.105552539568203,20.9467427104196,23.999999985498775,397.16721785024254,480.69429265334304,30
2019-01-31,Weekday,Spring,372.892,445.48837894736835,495.8355999999999,5.852624752338291,10.995540577529269,21.194732865344648,23.999999999999996,397.5411576212977,477.8888780601991,31
2019-02-01,Weekday,Spring,366.98479999999995,440.74707368421053,491.036,5.750001387041053,12.015791039661186,18.687063994722205,23.998105064154,398.7444754656234,478.8015825471499,32
2019-02-02,Weekend,Spring,371.7844,423.04593684210545,468.88399999999996,8.30032503820665,17.105924462726474,17.99992907725436,23.99993337710813,403.4539215178553,459.63683722162443,33
