day,daytype,term,p_5,p_ave,p_95,t1,t2,t3,t4,p_lo,p_hi,yday
2019-01-01,Weekday,Holiday,110.59200000000001,115.24038947368426,117.50399999999999,4.999999997720338,6.632045828144775,21.932066152468973,23.999999999999996,110.59200000076028,117.03811475108988,1
2019-01-02,Weekday,Holiday,110.59200000000001,148.42610526315792,172.8,6.496323529051339,7.681034482899158,22.16829550861864,22.038876272234088,113.18399999952598,168.86731034878855,2
2019-01-03,Weekday,Holiday,110.59200000000001,148.62458947368424,179.71200000000002,6.925000000020772,7.326158499335126,20.740426172913978,23.121402878525434,114.04800000264186,169.50415094830657,3
2019-01-04,Weekday,Holiday,110.59200000000001,148.11942105263162,172.8,6.772549020384881,7.545606092099938,22.02396871300822,22.10359586329814,114.45458823839837,167.8882931046306,4
2019-01-05,Weekend,Holiday,110.59200000000001,141.4049684210527,158.976,6.973423818449912,7.230153583841547,22.08498474241618,22.23793997676223,112.82823529411766,157.99679999988754,5
2019-01-06,Weekend,Holiday,110.59200000000001,141.44252631578954,159.6204,7.116301831854321,6.945261122506753,22.18744758049012,21.961359649351067,113.35679999999958,157.82586666666666,6
2019-01-07,Weekday,Holiday,110.59200000000001,153.66467368421053,186.62400000000002,6.423107381436635,8.043495935380978,19.439815770451034,23.999999999991896,113.65046384699906,179.25120000712843,7
2019-01-08,Weekday,Holiday,110.59200000000001,155.48424210526318,193.53599999999997,6.4350934075885196,8.138756694287903,18.374700052362893,23.999999999999996,115.12314157666744,184.09521951168617,8
2019-01-09,Weekday,Holiday,110.59200000000001,155.33810526315793,193.53599999999997,6.2812454242288664,8.692307691523748,17.64690247227617,23.999999999999996,114.79186286802059,187.0079999968359,9
2019-01-10,Weekday,Holiday,110.59200000000001,155.48362105263158,193.53599999999997,6.593122488985634,8.041666666669377,18.63842905538059,23.999999999999996,115.00568673328124,183.6617142817742,10
2019-01-11,Weekday,Holiday,110.59200000000001,152.4933789473684,186.62400000000002,6.464899515149134,8.113247864052406,18.702346821361957,23.999999999999996,114.91800469090857,178.39542857190926,11
2019-01-12,Weekend,Holiday,110.59200000000001,142.6786421052632,165.888,6.985557687986091,7.18522779541019,22.004149026453142,7.364563112528223,114.25244117647058,159.20639999999986,12
2019-01-13,Weekend,Holiday,110.59200000000001,142.31444210526325,158.976,7.000655163323827,7.197560181113301,22.000795046242978,22.273210436657454,113.6414125301728,158.97568563388816,13
2019-01-14,Weekday,Holiday,110.59200000000001,154.76142105263156,188.69759999999997,6.326649002745941,8.370643010058263,18.631903141849012,23.999999999999996,113.85704592674104,183.42087805417168,14
2019-01-15,Weekday,Holiday,110.59200000000001,155.6291368421052,193.53599999999997,5.951707070269269,9.397991069640163,17.366912863908578,23.999999999999996,115.4894922231661,188.78399999207966,15
2019-01-16,Weekday,Spring,110.59200000000001,159.04875789473678,200.44799999999998,5.939676602827703,9.378385371519775,17.04546634190858,23.999999999999996,116.72554458712484,194.87380646452092,16
2019-01-17,Weekday,Spring,110.59200000000001,159.5580631578947,200.44799999999998,6.093116235352083,8.981481477513624,17.225813790974343,23.999999999999996,116.38715981271432,194.79272726055234,17
2019-01-18,Weekday,Spring,110.59200000000001,159.12151578947362,193.53599999999997,5.920821468372715,9.198452645939646,18.18429009877199,23.999999999999996,116.85114241296215,191.04000000537218,18
2019-01-19,Weekend,Spring,110.59200000000001,145.31350526315788,165.888,6.972607459152052,7.122244952132653,22.154509984521038,21.84140715570121,115.92335294117647,162.31621666666666,19
2019-01-20,Weekend,Spring,110.59200000000001,146.31671578947368,165.888,6.963521626201823,7.18441218632668,22.21243089418415,22.210504018454763,116.69082352941176,163.46973333212924,20
2019-01-21,Weekday,Holiday,110.59200000000001,120.55983157894737,131.328,4.9756008045991935,10.61067074156116,20.967162889430803,23.999999999999996,112.94284662234207,125.25892684226542,21
2019-01-22,Weekday,Spring,110.59200000000001,174.2201894736842,228.09599999999998,6.026467048076457,9.749999667279315,17.25729896765303,23.999999999882807,116.01756994363562,224.50778753098237,22
2019-01-23,Weekday,Spring,110.59200000000001,168.23301052631578,221.18400000000003,5.691912346293446,9.861910600631768,17.371865341586215,23.999999999999996,111.71850301975076,215.70746665822824,23
2019-01-24,Weekday,Spring,110.59200000000001,172.72724210526312,228.09599999999998,5.963986659433833,10.028911563847968,16.827062938294052,23.999999999999996,116.27629130309401,224.25599998461314,24
2019-01-25,Weekday,Spring,110.59200000000001,163.99601052631573,207.36,5.9999965570566065,9.188924887395345,18.157015779958876,23.999990704019222,116.4055712509775,200.25586860610048,25
2019-01-26,Weekend,Spring,110.59200000000001,146.36055789473681,172.8,6.693452381381716,7.5497299020125554,21.959113442330434,22.318749996787737,114.91200000365345,164.6281578938489,26
2019-01-27,Weekend,Spring,110.59200000000001,149.09312631578942,172.8,6.633768252788622,7.7638888884519375,21.481382978679818,23.29919404749085,113.10196430026814,169.34400000339758,27
2019-01-28,Weekday,Spring,110.59200000000001,173.0182736842105,228.09599999999998,5.906467356082961,10.001078166107096,17.606687329319193,23.999999999999996,117.32099389109146,220.26239998378088,28
2019-01-29,Weekday,Spring,110.59200000000001,177.23716842105267,235.00799999999998,6.096404626089245,9.935542215235849,17.877791252909503,23.999999999999922,116.80423138978801,227.87684375443197,29
2019-01-30,Weekday,Spring,110.59200000000001,174.9099789473684,228.09599999999998,5.971783942834069,9.987909515487033,18.369779299427776,23.999999999999996,116.71780092269444,221.38729410960931,30
