[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Ashland Technical College,-,-,-,-,-,-,-,-,-,-,-,-,-,6,9,23,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Ati Career Training Center-Dallas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,62
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Atlanta Metropolitan State College,-,3,44,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Atlantic Technical College,5,3,7,5,-,-,-,-,-,-,-,2,2,4,9,-,-,-,-,-,18
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Austin Community College District,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",AVTEC-Alaska's Institute of Technology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,35,70,9,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bakersfield College,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Baldwin Wallace University,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Baltimore City Community College,-,-,-,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Barstow Community College,-,-,-,1,-,1,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Beaufort County Community College,1,1,1,1,2,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bentley University,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Berkeley City College,-,-,-,-,-,-,2,1,1,-,-,-,2,7,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bevill State Community College,11,-,-,-,-,1,1,1,5,3,2,5,7,10,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Big Sandy Community and Technical College,142,65,48,36,28,12,45,20,9,19,27,40,37,4,13,1,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Big Sandy Community And Technical College-Mayo Campus,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bladen Community College,28,12,11,3,15,24,19,13,15,14,5,17,6,8,10,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Blue Ridge Community College,7,10,3,3,2,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Bluegrass Community and Technical College,140,128,101,90,36,9,4,6,6,48,31,33,48,47,74,1,-,-,-,-,-
