[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Associate's degree,"11.01 - Computer And Information Sciences, General",Lassen Community College,-,-,-,-,-,-,-,-,-,-,-,1,1,3,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lawson State Community College-Bessemer Campus,-,-,-,-,-,-,-,-,-,-,-,-,17,27,23,18,19,30,17,16,14
Associate's degree,"11.01 - Computer And Information Sciences, General",Lawson State Community College-Birmingham Campus,9,6,8,11,14,8,5,11,9,10,8,20,14,15,18,8,5,5,7,25,19
Associate's degree,"11.01 - Computer And Information Sciences, General",LDS Business College,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lebanon College,-,-,-,2,-,3,3,-,1,2,-,-,-,2,-,1,1,1,2,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lee College,-,2,3,3,5,5,-,2,2,2,1,3,2,2,5,3,1,1,1,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Leeward Community College,24,23,12,9,6,10,5,4,6,3,11,2,8,16,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lehigh Carbon Community College,13,10,9,6,7,7,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lenoir Community College,2,3,2,4,3,-,4,2,1,4,7,6,5,8,12,12,1,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lewis College of Business,-,-,-,-,-,-,-,-,-,-,-,2,10,11,23,3,6,3,2,8,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Liberty University,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Life University,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Limestone College,2,2,6,10,13,12,1,1,2,3,3,1,-,-,3,-,3,-,2,2,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln College of Technology-Dayton,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln College of Technology-Florence,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln College of Technology-Franklin Lct,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln College of Technology-Marietta,-,-,-,-,-,1,36,18,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln College of Technology-Toledo,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln College of Technology-Tri-County,-,-,-,-,-,1,5,3,1,6,1,1,1,1,11,5,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln College of Technology-Vine Street,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln College of Technology-West Palm Beach,-,-,-,1,13,22,20,14,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lincoln University,4,-,2,1,-,2,2,3,1,1,2,2,2,2,3,5,2,4,4,1,8
Associate's degree,"11.01 - Computer And Information Sciences, General",Lindsey Wilson College,1,3,4,6,2,3,3,2,2,2,4,4,4,3,3,3,3,13,16,1,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Linn-Benton Community College,16,18,23,20,21,18,21,15,11,8,9,18,2,6,5,2,1,5,2,4,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Little Big Horn College,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Little Priest Tribal College,-,1,1,1,-,-,-,-,1,-,3,-,-,1,-,2,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",LIU Brooklyn,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lone Star College System,65,61,61,89,66,70,53,36,29,41,33,50,68,81,105,109,85,74,42,31,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Long Beach City College,16,7,4,1,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Lorain County Community College,-,-,-,-,-,3,-,-,-,9,-,2,6,10,2,2,14,12,13,19,21
Associate's degree,"11.01 - Computer And Information Sciences, General",Lord Fairfax Community College,21,31,28,25,29,19,18,18,13,13,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Los Angeles City College,2,3,2,-,1,1,2,-,1,2,6,4,2,23,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Los Angeles Harbor College,-,-,2,-,-,-,-,3,2,3,3,6,2,5,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Los Angeles Mission College,3,9,4,1,5,4,2,4,5,2,5,-,2,4,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Los Angeles Trade Technical College,10,6,10,9,7,3,7,3,2,8,5,12,15,13,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Louisiana State University-Alexandria,-,-,-,-,-,-,-,2,2,5,4,9,9,8,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Luna Community College,8,7,4,2,2,-,1,-,-,-,-,-,-,-,-,-,9,9,-,-,11
Associate's degree,"11.01 - Computer And Information Sciences, General",Lurleen B Wallace Community College,8,7,7,3,6,3,6,4,4,-,4,1,6,2,-,-,-,3,-,4,5
Associate's degree,"11.01 - Computer And Information Sciences, General",Lurleen B Wallace Community College-Macarthur Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,6,4,7,15,7
Associate's degree,"11.01 - Computer And Information Sciences, General",Luzerne County Community College,12,15,11,17,15,12,13,5,3,4,6,4,3,11,6,9,4,5,6,3,3
Associate's degree,"11.01 - Computer And Information Sciences, General",Lyndon State College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,3,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Macomb Community College,13,14,19,11,21,28,18,10,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Madison Media Institute-Rockford Career College,6,9,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Madisonville Community College,8,10,2,6,11,8,7,12,6,7,13,11,7,9,2,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Madonna University,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,2,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Manchester Community College,5,6,1,18,5,18,8,6,8,5,8,23,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Manchester University,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mansfield University of Pennsylvania,2,1,3,4,1,1,2,4,2,2,4,2,1,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Maria College of Albany,-,-,-,-,-,-,-,-,-,1,3,-,4,3,7,4,5,2,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Martin Community College,1,2,2,3,1,5,1,-,1,3,3,1,5,10,8,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Massasoit Community College,9,5,6,2,2,4,2,1,2,-,1,1,1,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mayland Community College,1,4,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Maysville Community and Technical College,8,8,4,14,8,10,9,6,2,3,3,3,4,9,15,6,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mccook Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
Associate's degree,"11.01 - Computer And Information Sciences, General",McDowell Technical Community College,8,1,3,2,4,5,5,5,2,7,5,7,3,8,15,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",McHenry County College,2,4,5,6,3,3,6,1,4,4,3,8,8,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mcintosh College,-,-,-,-,-,-,-,-,-,-,-,-,-,38,22,51,42,26,32,27,26
Associate's degree,"11.01 - Computer And Information Sciences, General",McLennan Community College,-,-,-,-,-,-,-,-,1,1,1,-,2,3,1,1,-,-,-,3,3
Associate's degree,"11.01 - Computer And Information Sciences, General",McNeese State University,-,-,1,4,5,5,10,11,7,7,9,9,14,23,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mendocino College,4,1,2,1,-,-,2,3,1,-,3,1,2,5,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Merced College,-,2,4,1,1,1,1,2,3,1,1,-,-,3,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mercer County Community College,13,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mercy College,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mercyhurst University,-,-,-,-,-,-,6,3,5,9,5,3,8,9,5,10,7,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mercyhurst University-North East Campus,3,4,2,6,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Merrimack College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,2,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Merritt College,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mesa Community College,20,17,13,15,15,6,4,4,3,3,3,3,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mesalands Community College,-,-,-,-,2,1,1,2,1,-,1,-,-,3,4,-,3,1,1,7,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Metropolitan Community College,-,-,-,-,-,-,-,-,-,-,-,-,6,6,4,3,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Metropolitan Community College Area,71,45,46,59,54,57,33,42,27,35,43,40,93,111,1,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Metropolitan Community College-Blue River,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,1,1,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Metropolitan Community College-Kansas City,25,22,13,21,17,11,2,-,4,5,3,-,3,2,1,3,-,2,3,5,8
Associate's degree,"11.01 - Computer And Information Sciences, General",Metropolitan Community College-Maple Woods,-,-,-,-,-,-,-,-,2,2,-,1,2,2,-,3,2,1,-,2,1
Associate's degree,"11.01 - Computer And Information Sciences, General",Metropolitan Community College-Penn Valley,-,-,-,-,-,-,-,-,-,1,-,4,3,2,8,1,4,1,2,2,1
Associate's degree,"11.01 - Computer And Information Sciences, General",Miami Dade College,40,34,25,30,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Miami-Jacobs Career College-Dayton,-,-,-,-,-,-,-,3,6,5,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mid-Plains Community College,2,2,2,5,9,3,1,4,2,2,10,6,3,2,6,11,4,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mid-State College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,4,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Mid-State Technical College,-,-,-,-,-,-,-,-,-,-,-,-,-,1,34,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Middlesex Community College,26,21,17,9,11,5,8,6,5,5,5,7,13,25,14,11,12,5,8,10,6
Associate's degree,"11.01 - Computer And Information Sciences, General",Middlesex County College,20,19,18,16,17,11,11,14,19,12,17,18,38,37,39,61,39,37,18,20,28
Associate's degree,"11.01 - Computer And Information Sciences, General",Midland College,-,1,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Midstate College,1,3,6,5,5,6,8,5,9,9,5,10,10,6,9,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Midway University,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mildred Elley School-Albany Campus,7,3,7,11,10,10,2,6,3,3,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Miles Community College,-,-,-,-,-,-,-,-,-,2,5,5,4,3,10,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Miller-Motte College-Wilmington,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Miller-Motte Technical College-Charleston,-,-,-,-,-,-,-,-,-,-,3,4,10,4,14,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Millersville University of Pennsylvania,-,-,-,-,-,-,-,1,1,1,-,-,1,1,1,-,3,1,1,-,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Blaine,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Brooklyn Center,-,-,-,-,-,-,-,4,-,2,1,-,-,14,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Elk River,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Lakeville,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Plymouth,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Richfield,-,-,-,-,-,-,-,10,6,1,7,3,3,7,7,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Rochester,-,-,-,-,-,-,-,9,4,4,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Shakopee,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota School of Business-Waite Park,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota State Community and Technical College,18,24,15,19,19,15,12,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Minnesota West Community and Technical College,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",MiraCosta College,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mission College,6,10,3,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mississippi Gulf Coast Community College,22,27,16,13,13,19,13,10,13,8,14,8,17,12,20,14,26,15,17,11,9
Associate's degree,"11.01 - Computer And Information Sciences, General",Missouri Southern State University,-,-,-,-,-,-,-,-,10,7,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Missouri State University-West Plains,-,-,-,1,2,4,4,-,2,1,-,2,4,8,12,6,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Missouri Tech,-,-,-,-,-,2,1,2,3,2,2,1,4,2,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mitchell College,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mitchell Community College,11,10,5,5,5,5,10,4,-,-,-,-,7,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Moberly Area Community College,-,-,-,-,-,-,3,2,4,11,11,7,13,10,13,-,-,-,3,6,1
Associate's degree,"11.01 - Computer And Information Sciences, General",Modesto Junior College,2,-,1,5,5,4,1,2,3,3,-,5,-,22,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mohave Community College,6,8,6,9,9,10,13,12,14,34,38,49,44,44,42,-,25,37,4,7,12
Associate's degree,"11.01 - Computer And Information Sciences, General",Mohawk Valley Community College,3,4,3,6,2,2,2,6,1,5,-,4,2,3,6,9,5,6,3,2,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Monroe College,78,92,101,114,100,88,63,73,58,61,69,104,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Monroe College-New Rochelle,-,-,-,-,-,-,21,18,33,36,29,34,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Monroe Community College,8,16,17,21,18,14,22,12,7,7,12,12,18,28,21,33,23,28,16,15,17
Associate's degree,"11.01 - Computer And Information Sciences, General",Monroe County Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,2,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Montana State University-Billings-College of Technology,-,-,-,-,-,-,-,-,-,-,-,-,12,17,9,16,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Montana State University-Northern,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Monterey Peninsula College,3,3,2,7,2,4,5,-,2,6,1,-,-,7,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Montgomery College,137,86,76,52,38,46,33,36,19,19,32,37,50,86,101,89,71,56,29,30,29
Associate's degree,"11.01 - Computer And Information Sciences, General",Montgomery College of Germantown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6
Associate's degree,"11.01 - Computer And Information Sciences, General",Montgomery College of Takoma Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,3
Associate's degree,"11.01 - Computer And Information Sciences, General",Montgomery Community College,1,1,-,-,4,5,2,2,12,1,1,1,4,5,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Montgomery County Community College,23,22,16,9,9,5,3,5,6,6,10,4,11,16,18,18,20,18,10,6,11
Associate's degree,"11.01 - Computer And Information Sciences, General",Moorpark College,-,-,1,2,-,2,1,2,1,5,7,10,10,10,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Morrison University,-,-,-,-,-,-,-,2,3,5,4,3,3,2,2,4,2,8,6,12,11
Associate's degree,"11.01 - Computer And Information Sciences, General",Morrisville State College,4,3,2,2,1,2,2,1,2,2,3,2,5,2,10,6,5,2,3,3,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Morton College,3,13,7,1,3,6,4,4,3,2,6,8,6,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Motlow State Community College,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mount Aloysius College,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mount Saint Joseph University,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,1,-,-,2,2,1
Associate's degree,"11.01 - Computer And Information Sciences, General",Mount Wachusett Community College,26,15,26,28,23,21,17,23,12,11,14,14,25,22,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mount Washington College,-,-,-,1,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mountain State College,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,5,11,4,4,6,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Mountwest Community and Technical College,28,30,29,22,21,25,16,17,15,13,21,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mt Hood Community College,12,10,19,8,11,9,9,12,7,5,5,14,18,33,29,47,21,21,14,9,9
Associate's degree,"11.01 - Computer And Information Sciences, General",Mt San Antonio College,4,10,3,5,7,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Mt San Jacinto Community College District,17,20,26,25,33,32,28,31,25,20,10,16,6,6,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Muhlenberg College,1,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,1,1,1,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Murray State College,4,2,1,2,6,-,2,-,1,1,5,3,2,9,8,12,13,6,11,2,4
Associate's degree,"11.01 - Computer And Information Sciences, General",Muskegon Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,1,2,-,1,2,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Napa Valley College,4,3,1,-,1,-,2,-,-,1,1,3,2,3,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Nash Community College,7,3,5,2,4,10,3,15,3,14,3,9,7,23,17,13,31,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Nashville State Community College,10,8,8,9,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Nassau Community College,52,78,74,38,42,4,5,7,9,9,12,11,13,15,19,20,26,19,19,17,18
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Albuquerque,-,-,-,-,-,-,-,-,1,3,-,2,3,7,8,8,7,2,6,1,2
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Albuquerque West,-,-,-,-,-,-,-,-,2,1,1,-,5,7,6,6,2,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Bloomington,-,-,-,-,-,-,1,-,2,3,2,2,3,2,15,7,11,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Brooklyn Center,-,-,-,-,-,-,-,-,3,-,3,1,1,1,5,3,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Colorado Springs,-,-,-,-,-,-,-,-,1,-,-,-,4,5,4,-,-,-,-,-,1
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Denver,-,-,-,-,-,-,-,-,-,1,-,-,-,7,5,5,4,1,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Ellsworth AFB Extension,-,-,-,-,-,-,-,-,-,-,1,1,3,-,2,5,5,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Independence,-,-,-,-,-,-,-,-,1,1,3,3,4,7,21,10,10,1,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Overland Park,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Rapid City,-,-,-,-,2,10,3,-,9,6,4,8,27,99,64,42,21,18,8,1,5
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Roseville,-,-,-,-,-,-,-,-,-,-,-,1,2,8,4,9,7,11,5,1,1
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Sioux Falls,-,-,-,-,-,-,-,-,2,3,-,3,-,-,-,-,-,-,5,2,1
Associate's degree,"11.01 - Computer And Information Sciences, General",National American University-Wichita,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National College-Nashville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,9,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National Park College,4,14,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National University College,44,15,25,9,9,12,7,12,11,22,6,21,23,3,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National University College-Arecibo,-,1,6,4,3,2,7,8,9,8,9,15,10,2,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",National University College-Rio Grande,-,5,4,2,1,1,-,3,3,4,15,7,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Navajo Technical University,2,9,3,10,8,7,8,4,6,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Neosho County Community College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,2,2
Associate's degree,"11.01 - Computer And Information Sciences, General",New England Institute of Technology,-,-,-,-,-,-,122,128,90,98,98,127,101,99,108,136,108,143,65,93,101
Associate's degree,"11.01 - Computer And Information Sciences, General",New Mexico Junior College,3,-,1,2,2,1,3,2,2,3,7,-,7,6,13,13,7,17,11,8,-
Associate's degree,"11.01 - Computer And Information Sciences, General",New Mexico State University-Alamogordo,4,7,5,6,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",New River Community and Technical College,-,-,-,-,-,-,-,4,2,6,9,8,17,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",New River Community College,14,19,20,13,15,24,12,18,24,17,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Newbury College,-,-,-,-,-,-,-,1,-,3,4,3,6,14,13,7,12,14,15,20,19
Associate's degree,"11.01 - Computer And Information Sciences, General",NHTI-Concord's Community College,28,36,35,33,44,32,28,23,18,30,32,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Niagara County Community College,11,16,11,8,11,10,9,6,6,3,4,6,7,7,11,5,14,8,10,7,2
Associate's degree,"11.01 - Computer And Information Sciences, General",Nicolet Area Technical College,-,-,-,19,14,23,22,13,10,2,-,-,-,-,-,-,-,-,-,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",Normandale Community College,-,-,-,-,-,-,-,-,4,2,2,6,8,6,3,7,9,7,8,-,-
Associate's degree,"11.01 - Computer And Information Sciences, General",North Arkansas College,12,7,17,15,22,16,17,20,21,6,24,21,8,7,2,-,-,-,-,-,-
